"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"173","Alexandre Behring ","55","536"
"174","Elizabeth Johnson ","58","536"
"175","Lin Bin ","54","536"
"176","Hiroshi Mikitani ","57","536"
"177","Wang Yanqing & family ","55","536"
"178","Ben Chestnut ","47","552"
"179","Wei Fang ","48","552"
"180","Dan Kurzius ","50","552"
"181","Tobi Lutke ","41","552"
"182","Scott Shleifer ","44","552"
"183","Peter Thiel ","54","552"
"184","Xiao Yongming & family ","57","552"
"185","Zhang Tao ","49","552"
"186","Daniel Ziff ","50","552"
"187","Dirk Ziff ","58","552"
"188","Robert Ziff ","55","552"
"189","Mat Ishbia ","42","579"
"190","Erik Selin ","54","579"
"191","Dona Bertarelli ","54","586"
"192","Leng Youbin ","53","586"
"193","Jeff Skoll ","57","586"
"194","Frank Wang ","41","586"
"195","Andre Koo, Sr. ","54","601"
"196","Lai Meisong ","51","601"
"197","Richard Li ","55","601"
"198","Andrei Skoch & family ","56","601"
"199","Stéphane Bancel ","49","622"
"200","Bruce Flatt ","56","622"
"201","Michael Ashley ","57","637"
"202","Todd Boehly ","48","637"
"203","Guo Guangchang ","55","637"
"204","Gustav Magnar Witzoe ","28","637"
"205","Xie Liangzhi & family ","56","637"
"206","Yeung Kin-man ","58","637"
"207","Christian Haub ","57","654"
"208","Huang Li ","58","654"
"209","Suleiman Kerimov & family ","56","654"
"210","Lu Yiwen ","35","654"
"211","Yang Jianliang & family ","52","654"
"212","Joesley Batista ","50","665"
"213","Wesley Batista ","49","665"
"214","Dan Friedkin ","57","665"
"215","Jason Jiang ","49","665"
"216","Su Hua ","40","665"
"217","Rinat Akhmetov ","55","687"
"218","Yakir Gabay ","55","687"
"219","Lynsi Snyder ","39","687"
"220","Juan Domingo Beckmann Legorreta & family ","54","709"
"221","Sergey Dmitriev ","56","709"
"222","Lee Boo-jin ","51","709"
"223","Eric Lefkofsky ","52","709"
"224","Weiguo Li ","57","709"
"225","Russ Weiner ","51","709"
"226","Guanjiang Wu & family ","53","709"
"227","Somphote Ahunai ","54","728"
"228","He Xiaopeng ","44","728"
"229","Victor Jacobsson ","40","728"
"230","Max Lytvyn ","42","728"
"231","Gilles Martin ","58","728"
"232","Ramzi Musallam ","53","728"
"233","Alex Shevchenko ","42","728"
"234","Dan Snyder ","57","728"
"235","Cameron Winklevoss ","40","728"
"236","Tyler Winklevoss ","40","728"
"237","Zhao Lixin ","56","728"
"238","Li Xiang ","40","764"
"239","Neil Shen ","54","764"
"240","Luca Garavoglia ","53","778"
"241","Timur Kulibaev ","55","778"
"242","Dinara Kulibaeva ","54","778"
"243","Pablo Legorreta ","58","778"
"244","Katharina Otto-Bernstein ","58","778"
"245","James Packer ","54","778"
"246","Zeng Fangqin ","56","778"
"247","Che Jianxing ","55","801"
"248","Li Guoqiang ","58","801"
"249","Shi Yonghong & family ","53","801"
"250","Song Chi-hyung ","43","801"
"251","Byju Raveendran and Divya Gokulnath ","40","822"
"252","David Filo ","55","822"
"253","Iskander Makhmudov ","58","822"
"254","Daniel Mate ","58","822"
"255","Nan Cunhui ","58","822"
"256","J.B. Pritzker ","57","822"
"257","Julia Thiele-Schuerhoff ","50","822"
"258","Eric Douglas ","53","851"
"259","Jiangtao Du & family ","52","851"
"260","Fiona Geminder ","57","851"
"261","Aerin Lauder ","51","851"
"262","Lee Seo-hyun ","48","851"
"263","Li Yongxin & family ","46","851"
"264","Apoorva Mehta ","35","851"
"265","Gil Shwed ","53","851"
"266","William Wrigley, Jr. ","58","851"
"267","Xue Hua ","52","851"
"268","Cheng Yixiao ","38","883"
"269","Behdad Eghbali ","45","883"
"270","Jose E. Feliciano ","48","883"
"271","Fu Liquan & family ","54","883"
"272","Jeff T. Green ","45","883"
"273","Jerry Ng ","56","883"
"274","Tengyun Nie & family ","46","883"
"275","Pavel Tykac ","57","883"
"276","Todd Wanek ","58","883"
"277","Michael Xie ","53","883"
"278","John Arnold ","48","913"
"279","Tomasz Biernacki ","49","913"
"280","Travis Boersma ","51","913"
"281","Ralph Dommermuth ","58","913"
"282","Alfred Oetker ","55","913"
"283","Carl Ferdinand Oetker ","49","913"
"284","Julia Oetker ","43","913"
"285","Stefan von Holtzbrinck ","58","913"
"286","Yang Weidong & family ","53","913"
"287","Barry Zekelman ","55","913"
"288","Zhang Shilong & family ","56","913"
"289","Cameron Adams ","42","951"
"290","Sergei Galitsky ","54","951"
"291","Ernest Garcia, III ","39","951"
"292","Robert Hale, Jr. ","55","951"
"293","Alan Howard ","58","951"
"294","Kei Hoi Pang ","56","951"
"295","Vikas Oberoi ","51","951"
"296","Matthew Prince ","47","951"
"297","Yasumitsu Shigeta ","57","951"
