"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"170","Juergen Blickle ","75","398"
"171","Jack Dangermond ","76","398"
"172","Hong Ra-hee ","76","403"
"173","Sri Prakash Lohia ","69","403"
"174","Bruce Kovner ","77","411"
"175","Leonard Stern ","84","411"
"176","Stef Wertheimer & family ","95","411"
"177","Rocco Commisso ","72","418"
"178","George Lucas ","77","418"
"179","Fredrik Lundberg ","70","424"
"180","John Morris ","74","424"
"181","Mahendra Choksi & family ","80","431"
"182","Barry Lam ","72","431"
"183","Teh Hong Piow ","92","431"
"184","Ken Langone ","86","438"
"185","Terrence Pegula ","71","438"
"186","Wolfgang Reimann ","69","438"
"187","Renate Reimann-Haas ","70","438"
"188","Charles Simonyi ","73","438"
"189","John A. Sobrato & family ","82","438"
"190","David Steward ","70","438"
"191","Les Wexner & family ","84","438"
"192","Aloys Wobben ","70","438"
"193","Sam Zell ","80","438"
"194","Anthony Bamford & family ","76","460"
"195","Rainer Blickle ","74","460"
"196","Clive Calder ","75","460"
"197","Frits Goldschmeding ","88","460"
"198","Ananda Krishnan ","84","460"
"199","Odd Reitan & family ","70","460"
"200","Tse Ping ","70","460"
"201","Prajogo Pangestu ","77","471"
"202","Edward Roski, Jr. ","83","471"
"203","David Sun ","70","471"
"204","John Tu ","80","471"
"205","Erich Wesjohann & family ","76","471"
"206","Neil Bluhm ","84","480"
"207","Don Hankey ","78","480"
"208","Ronald Wanek ","80","480"
"209","John Brown ","87","490"
"210","Jim Davis & family ","78","490"
"211","Charles Dolan & family ","95","490"
"212","Tom Golisano ","80","490"
"213","Hui Wing Mau ","71","490"
"214","Massimiliana Landini Aleotti & family ","79","490"
"215","Joe Lewis ","85","490"
"216","Shigenobu Nagamori ","77","490"
"217","Samuel Yin ","71","490"
"218","Ken Fisher ","71","509"
"219","Peter Grogg ","80","509"
"220","Dietmar Hopp & family ","81","509"
"221","Sumet Jiaravanon ","87","509"
"222","Nathan Kirsh ","90","509"
"223","Rudolf Maag ","76","509"
"224","Gary Rollins ","77","509"
"225","Jaran Chiaravanont ","92","523"
"226","Wolfgang Marguerre & family ","80","523"
"227","Katharine Rayner ","77","523"
"228","Margaretta Taylor ","79","523"
"229","Robert Bass ","74","536"
"230","Chan Laiwa & family ","81","536"
"231","Montri Jiaravanont ","91","536"
"232","Charles B. Johnson ","89","536"
"233","Isaac Perlmutter ","79","536"
"234","Michael Pieper ","76","536"
"235","Issad Rebrab & family ","78","536"
"236","Tsai Hong-tu ","69","536"
"237","Wang Junshi & family ","73","536"
"238","Alain Bouchard ","73","552"
"239","Austen Cargill, II. ","71","552"
"240","James Cargill, II. ","72","552"
"241","Johann Graf ","75","552"
"242","Ronald Lauder ","78","552"
"243","Thomas Pritzker ","71","552"
"244","Autry Stephens ","83","552"
"245","Tsai Cheng-ta ","72","552"
"246","Hansjoerg Wyss ","87","552"
"247","Robert Rich, Jr. ","81","579"
"248","Thomas Schmidheiny ","76","579"
"249","Theo Mueller ","82","586"
"250","Julian Robertson, Jr. ","89","586"
"251","Emanuele (Lino) Saputo & family ","85","586"
"252","Maria Fernanda Amorim & family ","87","601"
"253","Leonid Boguslavsky ","70","601"
"254","Richard Branson ","71","601"
"255","Robert Brockman ","80","601"
"256","Scott Cook ","69","601"
"257","Guenther Fielmann & family ","82","601"
"258","Johnelle Hunt ","90","601"
"259","Igor Olenicoff ","79","601"
"260","Mark Shoen ","71","601"
"261","Fred Smith ","77","601"
"262","Dan Cathy ","69","622"
"263","Jason Chang ","77","622"
"264","Dagmar Dolby & family ","80","622"
"265","Masatoshi Ito ","97","622"
"266","Min Kao & family ","73","622"
"267","Ron Baron ","78","637"
"268","David Bonderman ","79","637"
"269","Ted Lerner & family ","96","637"
"270","Trevor Rees-Jones ","70","637"
"271","J. Joe Ricketts & family ","80","637"
"272","Giuseppe De'Longhi & family ","82","654"
"273","Barry Diller ","80","654"
"274","Marian Ilitch ","89","654"
"275","Edwin Leong ","70","654"
"276","N.R. Narayana Murthy ","75","654"
"277","Margot Birmingham Perot ","88","665"
"278","Walter P.J. Droege ","69","665"
"279","Gao Dekang & family ","70","665"
"280","W. Herbert Hunt ","93","665"
"281","Rupert Johnson, Jr. ","81","665"
"282","Vikram Lal & family ","80","665"
"283","Richard Schulze ","81","665"
"284","Paul Singer ","77","665"
"285","Ty Warner ","77","665"
"286","Bernard Broermann ","78","687"
"287","Mong-Koo Chung ","84","687"
"288","Daniel D'Aniello ","75","687"
"289","Traudl Engelhorn & family ","95","687"
"290","Piero Ferrari ","76","687"
"291","Bertil Hult ","81","687"
"292","Martha Ingram & family ","86","687"
"293","Lee Yin Yee ","70","687"
"294","Janice McNair ","85","687"
"295","Kerry Stokes ","81","687"
"296","Romesh T. Wadhwani ","74","687"
"297","James Irving ","94","709"
"298","Samuel Tak Lee ","82","709"
"299","Ermirio Pereira de Moraes & family ","89","709"
"300","Maria Helena Moraes Scripilliti & family ","91","709"
"301","E. Joe Shoen ","72","709"
"302","Steven Udvar-Hazy ","76","709"
"303","Patrizio Bertelli ","76","728"
"304","Paul Gauselmann & family ","87","728"
"305","Michael Herz ","78","728"
"306","Wolfgang Herz ","71","728"
"307","Arthur Irving ","92","728"
"308","Marc Ladreit de Lacharriere ","81","728"
"309","Patrick Lee ","80","728"
"310","Georg Nemetschek & family ","88","728"
"311","Akio Nitori ","78","728"
"312","Pankaj Patel ","69","728"
"313","Miuccia Prada ","72","728"
"314","Juan Roig ","72","728"
"315","David Rubenstein ","72","728"
"316","Jerzy Starak ","74","728"
"317","Herbert Wertheim ","82","728"
"318","Denise York & family ","71","728"
"319","Hubert Burda ","82","764"
"320","Francesco Gaetano Caltagirone ","79","764"
"321","Helmut Sohmen ","82","764"
"322","Donald Sterling ","87","764"
"323","Don Vultaggio & family ","70","764"
"324","Yiling Wu ","72","764"
"325","Gayle Benson ","75","778"
"326","William Conway, Jr. ","72","778"
"327","Gurbachan Singh Dhingra ","71","778"
"328","Kuldip Singh Dhingra ","74","778"
"329","Michel Leclercq & family ","82","778"
"330","Michael Milken ","75","778"
"331","Sergio Stevanato & family ","79","778"
"332","Yitzhak Tshuva ","73","778"
"333","Paul-Heinz Wesjohann & family ","78","778"
