"","Nazwisko","Wiek","Aktualne.miejsce.w.rankingu"
"720","Marina Prada ","76","1729"
"721","Arkady Rotenberg ","70","1729"
"722","Dieter Schnabel ","76","1729"
"723","Basudeo Singh ","81","1729"
"724","Patrizio Vinciarelli ","75","1729"
"725","Wang Yanqing & family ","75","1729"
"726","Stephen Winn ","75","1729"
"727","Ian Wood & family ","79","1729"
"728","Gordon Wu ","86","1729"
"729","Vladimir Yevtushenkov ","73","1729"
"730","Zhang Jingzhang & family ","86","1729"
"731","Zheng Hong & family ","71","1729"
"732","Anita Zucker ","70","1729"
"733","Herbert Allen, Jr. & family ","82","1818"
"734","Vasily Anisimov ","70","1818"
"735","Mori Arkin ","69","1818"
"736","Semahat Sevim Arsel ","93","1818"
"737","Shyam Bhartia ","69","1818"
"738","Sam Goi ","75","1818"
"739","Bill Gross ","77","1818"
"740","Sue Gross ","72","1818"
"741","Lutz Mario Helmig ","75","1818"
"742","Archie Hwang ","69","1818"
"743","Richard Kayne ","76","1818"
"744","Jim Koch ","72","1818"
"745","William Koch ","81","1818"
"746","Kagemasa Kozuki ","81","1818"
"747","Arvind Lal ","72","1818"
"748","Robert Langer ","73","1818"
"749","Li Denghai ","72","1818"
"750","Li Rucheng ","70","1818"
"751","Vincent Lo ","73","1818"
"752","Brandt Louie ","78","1818"
"753","Catherine Lozick ","76","1818"
"754","Duncan MacMillan ","84","1818"
"755","John MacMillan ","72","1818"
"756","Martha MacMillan ","70","1818"
"757","Terence (Terry) Matthews ","79","1818"
"758","Kazuo Okada ","79","1818"
"759","George Sakellaris ","75","1818"
"760","Gerald Schwartz ","80","1818"
"761","Carl Thoma ","73","1818"
"762","Ion Tiriac ","82","1818"
"763","Tom Werner ","71","1818"
"764","Kie Chie Wong ","74","1818"
"765","Antti Aarnio-Wihuri ","82","1929"
"766","Chirayu Amin ","75","1929"
"767","Ana Maria Brescia Cafferata ","97","1929"
"768","Paolo Bulgari ","84","1929"
"769","Giuliana Caprotti ","81","1929"
"770","Eduardo Costantini ","75","1929"
"771","Bharat Desai ","69","1929"
"772","Bulent Eczacibasi ","72","1929"
"773","Eduardo Eurnekian ","89","1929"
"774","John Farber ","96","1929"
"775","Clement Fayat & family ","90","1929"
"776","Alan Gerry ","93","1929"
"777","Esther Grether ","86","1929"
"778","Torstein Hagen ","79","1929"
"779","Timothy Headington ","71","1929"
"780","Niranjan Hiranandani ","72","1929"
"781","Huang Rulun ","70","1929"
"782","Sidney Kimmel ","94","1929"
"783","Mustafa Rahmi Koc ","91","1929"
"784","Pyotr Kondrashev ","72","1929"
"785","Hemendra Kothari ","75","1929"
"786","Eduard Kucera ","69","1929"
"787","Manuel Lao Hernández ","77","1929"
"788","Rafique Malik ","71","1929"
"789","Youssef Mansour ","76","1929"
"790","Mao Lixiang & family ","81","1929"
"791","David McMurtry ","81","1929"
"792","Meng Qingshan & family ","73","1929"
"793","Alan Miller & family ","84","1929"
"794","Massimo Moratti ","76","1929"
"795","Robert Mouawad ","77","1929"
"796","Ezra Nahmad ","76","1929"
"797","Kentaro Ogawa ","73","1929"
"798","Michael Polsky ","73","1929"
"799","G. M. Rao ","71","1929"
"800","Fernando Roig ","74","1929"
"801","Fayez Sarofim ","93","1929"
"802","Antonio Luiz Seabra ","79","1929"
"803","Edwin Soeryadjaya ","72","1929"
"804","Wilma Tisch ","94","1929"
"805","Kenny Troutt ","74","1929"
"806","Myron Wentz ","82","1929"
"807","Xu Wanmao ","77","1929"
"808","Xue Jiping ","71","1929"
"809","Radhe Shyam Agarwal ","77","2076"
"810","Syed Mokhtar AlBukhary ","70","2076"
"811","Thomas Bruch ","71","2076"
"812","Richard Chang ","75","2076"
"813","Darwin Deason ","81","2076"
"814","Deng Yingzhong ","71","2076"
"815","Mukand Lal Dua ","73","2076"
"816","William Foley, II. ","77","2076"
"817","Jayme Garfinkel & family ","76","2076"
"818","Radhe Shyam Goenka ","76","2076"
"819","Daniel Hirschfeld ","80","2076"
"820","Yintai Jiang & family ","71","2076"
"821","Kim Jun-ki ","77","2076"
"822","Yogesh Kothari ","73","2076"
"823","Kurt Krieger ","74","2076"
"824","Art Levinson ","72","2076"
"825","Scott Lin ","89","2076"
"826","Anatoly Lomakin ","69","2076"
"827","Jerry Moyes & family ","78","2076"
"828","George Jacob Muthoot ","69","2076"
"829","George Thomas Muthoot ","71","2076"
"830","Stefan Olsson ","73","2076"
"831","Subhash Runwal ","78","2076"
"832","Martin Selig ","84","2076"
"833","Bhadresh Shah ","70","2076"
"834","Prachak Tangkaravakoon ","78","2076"
"835","Lina Tombolato ","74","2076"
"836","Luiza Helena Trajano ","70","2076"
"837","John Van Lieshout ","76","2076"
"838","Vardis Vardinoyannis & family ","89","2076"
"839","Werner O. Weber ","83","2076"
"840","Eugene Wu ","76","2076"
"841","Wu Xushun & family ","73","2076"
"842","Alberto Alcocer ","79","2190"
"843","Anant Asavabhokin ","71","2190"
"844","Othman Benjelloun & family ","89","2190"
"845","Angela Bennett ","78","2190"
"846","Edouard Carmignac ","74","2190"
"847","Jeffrey Cheah ","77","2190"
"848","Chua Thian Poh ","73","2190"
"849","Alberto Cortina ","76","2190"
"850","Sandor Csanyi ","69","2190"
"851","Sasson Dayan & family ","82","2190"
"852","Richard Desmond ","70","2190"
"853","Shlomo Eliahu ","86","2190"
"854","Jose Ermirio de Moraes Neto ","69","2190"
"855","Marvy Finger ","86","2190"
"856","Richard Fortin ","73","2190"
"857","Premchand Godha ","75","2190"
"858","Alfredo Harp Helu & family ","78","2190"
"859","David Hoffmann ","69","2190"
"860","Francis Holder ","81","2190"
"861","Mitchell Jacobson ","71","2190"
"862","Yuri Kovalchuk ","70","2190"
"863","Heikki Kyostila ","76","2190"
"864","Bernard Lewis & family ","96","2190"
"865","Xuejing Liu & family ","71","2190"
"866","Yoshiko Mori ","81","2190"
"867","Mofatraj Munot ","77","2190"
"868","Satyanarayan Nuwal ","69","2190"
"869","Forrest Preston ","89","2190"
"870","Lily Safra ","84","2190"
"871","Deniz Sahenk ","76","2190"
"872","Hajime Satomi ","80","2190"
"873","Albert Shigaboutdinov ","69","2190"
"874","Nobutoshi Shimamura ","96","2190"
"875","Terry Snow ","78","2190"
"876","Manny Stul ","72","2190"
"877","Tony Tan Caktiong ","69","2190"
"878","Jim Thompson ","82","2190"
"879","Carmen Thyssen ","78","2190"
"880","Joop van den Ende ","80","2190"
"881","Wan Long ","81","2190"
"882","Alfred West, Jr. ","79","2190"
"883","Farris Wilks ","70","2190"
"884","Zhang Guiping & family ","70","2190"
"885","Thomas Bailey ","85","2324"
"886","Ashok Boob ","70","2324"
"887","Pradip Burman ","79","2324"
"888","Yvon Chouinard ","83","2324"
"889","Luigi Cremonini & family ","82","2324"
"890","Sven Hagströmer ","78","2324"
"891","Richard Hayne ","74","2324"
"892","Michael Heine ","72","2324"
"893","Huang Shih Tsai ","70","2324"
"894","Mohammed Ibrahim ","75","2324"
"895","Rameshchandra Jain ","73","2324"
"896","Chatchai Kaewbootta ","70","2324"
"897","Hartono Kweefanus ","72","2324"
"898","Ulrich Mommert & family ","81","2324"
"899","George Pedersen ","86","2324"
"900","Murdaya Poo ","81","2324"
"901","Michael Price ","69","2324"
"902","Megdet Rahimkulov & family ","76","2324"
"903","Helena Revoredo ","75","2324"
"904","Nobutada Saji ","76","2324"
"905","Leonard Schleifer ","69","2324"
"906","Devi Shetty ","69","2324"
"907","Michael Steinhardt ","81","2324"
"908","Winarko Sulistyo ","76","2324"
"909","Lucio Tan ","87","2324"
"910","Sam Tarascio ","77","2324"
"911","Alexander Tedja ","76","2324"
"912","Laurie Tisch ","71","2324"
"913","Steven Tisch ","73","2324"
"914","Wim van der Leegte ","74","2324"
"915","J. Wayne Weaver ","86","2324"
"916","Horst Wortmann ","80","2324"
"917","Wu Li-gann ","81","2324"
"918","Yeh Kuo-I ","80","2324"
"919","Joao Alves de Queiroz Filho ","69","2448"
"920","Ryuji Arai ","75","2448"
"921","Aydin Dogan ","85","2448"
"922","Gabriel Escarrer ","87","2448"
"923","Richard Fairbank ","71","2448"
"924","Paul Fireman ","78","2448"
"925","Donald Friese ","81","2448"
"926","Soichiro Fukutake ","76","2448"
"927","Antonio Gallardo Ballart ","86","2448"
"928","Mustafa Hamied ","81","2448"
"929","Hong Seok-joh ","69","2448"
"930","Subba Rao Jasti ","95","2448"
"931","Koo Bon-neung ","73","2448"
"932","Suresh Krishna ","85","2448"
"933","Norma Lerner ","86","2448"
"934","Lim Hariyanto Wijaya Sarwono ","93","2448"
"935","Lv Yongxiang ","72","2448"
"936","Erik Must ","79","2448"
"937","Kerr Neilson ","72","2448"
"938","Jose Isaac Peres & family ","81","2448"
"939","John Phillips ","71","2448"
"940","K. Rai Sahi ","75","2448"
"941","Karl Scheufele, III. & family ","83","2448"
"942","Scott Smith ","72","2448"
"943","Ashok Soota ","79","2448"
"944","Venu Srinivasan ","69","2448"
"945","Robert Toll ","81","2448"
"946","Surin Upatkoon ","72","2448"
"947","Murat Vargi ","74","2448"
"948","Pongsak Viddayakorn ","88","2448"
"949","Allan Wong ","72","2448"
"950","Yang Erzhu ","71","2448"
"951","Yoshiaki Yoshida ","81","2448"
"952","Wilbur  'Ed' Bosarge, Jr. ","82","2578"
"953","Jean-Pierre Cayard ","79","2578"
"954","Tony Chen ","72","2578"
"955","Roy Chi Ping Chung ","69","2578"
"956","Carl DeSantis ","82","2578"
"957","Sefik Yilmaz Dizdar ","84","2578"
"958","Larry Fink ","69","2578"
"959","Jorge Gallardo Ballart ","80","2578"
"960","Nari Genomal ","82","2578"
"961","Ramesh Genomal ","71","2578"
"962","Horst-Otto Gerberding ","69","2578"
