"","Ranking.aktualnie","Nazwisko","Wiek","Kraj","Zrodlo.dochodww","Branza","Wartosc.majatku.w.tym.roku"
"1",1,"Elon Musk ",50,"United States","Tesla, SpaceX","Automotive ","$219 B"
"2",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$171 B"
"3",3,"Bernard Arnault & family ",73,"France","LVMH","Fashion & Retail ","$158 B"
"4",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$129 B"
"5",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$118 B"
"6",6,"Larry Page ",49,"United States","Google","Technology ","$111 B"
"7",7,"Sergey Brin ",48,"United States","Google","Technology ","$107 B"
"8",8,"Larry Ellison ",77,"United States","software","Technology ","$106 B"
"9",9,"Steve Ballmer ",66,"United States","Microsoft","Technology ","$91.4 B"
"10",10,"Mukesh Ambani ",64,"India","diversified","Diversified ","$90.7 B"
