"","Ranking.aktualnie","Nazwisko","Wiek","Kraj","Zrodlo.dochodww","Branza","Wartosc.majatku.w.tym.roku"
"1",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$177 B"
"2",1,"Elon Musk ",50,"United States","Tesla, SpaceX","Automotive ","$151 B"
"3",3,"Bernard Arnault & family ",73,"France","LVMH","Fashion & Retail ","$150 B"
"4",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$124 B"
"5",15,"Mark Zuckerberg ",37,"United States","Facebook","Technology ","$97 B"
"6",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$96 B"
"7",8,"Larry Ellison ",77,"United States","software","Technology ","$93 B"
"8",6,"Larry Page ",49,"United States","Google","Technology ","$91.5 B"
"9",7,"Sergey Brin ",48,"United States","Google","Technology ","$89 B"
"10",10,"Mukesh Ambani ",64,"India","diversified","Diversified ","$84.5 B"
