"","Ranking.aktualnie","Nazwisko","Wiek","Kraj","Zrodlo.dochodww","Branza","Wartosc.majatku.w.tym.roku"
"1",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$75.00 B"
"2",23,"Amancio Ortega ",86,"Spain","Zara","Fashion & Retail ","$67.00 B"
"3",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$60.80 B"
"4",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$45.20 B"
"5",15,"Mark Zuckerberg ",37,"United States","Facebook","Technology ","$44.60 B"
"6",8,"Larry Ellison ",77,"United States","software","Technology ","$43.60 B"
"7",12,"Michael Bloomberg ",80,"United States","Bloomberg LP","Media & Entertainment ","$40.00 B"
"8",21,"Charles Koch ",86,"United States","Koch Industries","Diversified ","$39.60 B"
"9",6,"Larry Page ",49,"United States","Google","Technology ","$35.20 B"
"10",7,"Sergey Brin ",48,"United States","Google","Technology ","$34.40 B"
