"","Ranking.aktualnie","Nazwisko","Wiek","Kraj","Zrodlo.dochodww","Branza","Wartosc.majatku.w.tym.roku"
"1",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$86.00 B"
"2",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$75.60 B"
"3",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$72.80 B"
"4",23,"Amancio Ortega ",86,"Spain","Zara","Fashion & Retail ","$71.30 B"
"5",15,"Mark Zuckerberg ",37,"United States","Facebook","Technology ","$56.00 B"
"6",8,"Larry Ellison ",77,"United States","software","Technology ","$52.20 B"
"7",21,"Charles Koch ",86,"United States","Koch Industries","Diversified ","$48.30 B"
"8",12,"Michael Bloomberg ",80,"United States","Bloomberg LP","Media & Entertainment ","$47.50 B"
"9",6,"Larry Page ",49,"United States","Google","Technology ","$40.70 B"
"10",7,"Sergey Brin ",48,"United States","Google","Technology ","$39.80 B"
