"","Ranking.aktualnie","Nazwisko","Wiek","Kraj","Zrodlo.dochodww","Branza","Wartosc.majatku.w.tym.roku"
"1",2,"Jeff Bezos ",58,"United States","Amazon","Technology ","$113 B"
"2",4,"Bill Gates ",66,"United States","Microsoft","Technology ","$98 B"
"3",3,"Bernard Arnault & family ",73,"France","LVMH","Fashion & Retail ","$76 B"
"4",5,"Warren Buffett ",91,"United States","Berkshire Hathaway","Finance & Investments ","$67.5 B"
"5",8,"Larry Ellison ",77,"United States","software","Technology ","$59 B"
"6",23,"Amancio Ortega ",86,"Spain","Zara","Fashion & Retail ","$55.1 B"
"7",15,"Mark Zuckerberg ",37,"United States","Facebook","Technology ","$54.7 B"
"8",16,"Jim Walton ",73,"United States","Walmart","Fashion & Retail ","$54.6 B"
"9",18,"Alice Walton ",72,"United States","Walmart","Fashion & Retail ","$54.4 B"
"10",19,"Rob Walton ",77,"United States","Walmart","Fashion & Retail ","$54.1 B"
