"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"252","Marcos Galperin ",64,"Technology ",4.1,"2020 - 2021",-2.2,"2021 - 2022"
"253","Quek Leng Chan ",80,"Diversified ",4.06,"2019 - 2020",-2.06,"2018 - 2019"
"254","Cao Renxian ",53,"Energy ",4,"2021 - 2022",0,"2015 - 2016"
"255","Ronald Wanek ",80,"Manufacturing ",4,"2020 - 2021",-0.5,"2015 - 2016"
"256","Ronald McAulay ",86,"Energy ",3.92,"2018 - 2019",-3.92,"2019 - 2020"
"257","Anthony Pratt ",61,"Manufacturing ",3.91,"2019 - 2020",-0.71,"2018 - 2019"
"258","Hank & Doug Meijer ",64,"Fashion & Retail ",3.9,"2021 - 2022",-2.5,"2015 - 2016"
"259","Azim Premji ",76,"Technology ",3.9,"2017 - 2018",-12.7,"2019 - 2020"
"260","Herbert Kohler, Jr. & family ",83,"Manufacturing ",3.9,"2020 - 2021",-1,"2021 - 2022"
"261","Ruan Hongliang & family ",61,"Manufacturing ",3.9,"2020 - 2021",0,"2015 - 2016"
"262","Igor Altushkin ",51,"Metals & Mining ",3.9,"2020 - 2021",-5.2,"2021 - 2022"
"263","Charles Schwab ",84,"Finance & Investments ",3.9,"2020 - 2021",-1.69,"2019 - 2020"
"264","Carlos Alberto Sicupira & family ",74,"Food & Beverage ",3.9,"2020 - 2021",-0.199999999999999,"2021 - 2022"
"265","Joseph Tsai ",58,"Technology ",3.9,"2017 - 2018",-3.2,"2021 - 2022"
"266","Charlene de Carvalho-Heineken & family ",67,"Food & Beverage ",3.9,"2020 - 2021",-1.5,"2021 - 2022"
"267","Kwon Hyuk-bin ",48,"Technology ",3.8,"2020 - 2021",0.0999999999999996,"2021 - 2022"
"268","Li Ping ",54,"Automotive ",3.8,"2020 - 2021",0,"2015 - 2016"
"269","Horst Julius Pudwill ",77,"Manufacturing ",3.8,"2020 - 2021",0.4,"2021 - 2022"
"270","Leo Koguan ",67,"Technology ",3.8,"2021 - 2022",0,"2015 - 2016"
"271","Kjell Inge Rokke ",63,"Logistics ",3.8,"2020 - 2021",-2.79,"2019 - 2020"
"272","Acharya Balkrishna ",49,"Food & Beverage ",3.8,"2017 - 2018",-0.3,"2021 - 2022"
"273","Ann Walton Kroenke ",73,"Fashion & Retail ",3.79,"2019 - 2020",-2.49,"2018 - 2019"
"274","Bertil Hult ",81,"Service ",3.73,"2018 - 2019",-3.23,"2019 - 2020"
"275","Steve Cohen ",65,"Finance & Investments ",3.7,"2019 - 2020",-3.8,"2018 - 2019"
