"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"617","Pavel Tykac ",57,"Metals & Mining ",1.7,"2021 - 2022",0,"2017 - 2018"
"618","Wilhelm Beier & family ",65,"Healthcare ",1.7,"2020 - 2021",-0.1,"2021 - 2022"
"619","Zheng Xiaodong ",58,"Manufacturing ",1.7,"2021 - 2022",0,"2015 - 2016"
"620","Sanjeev Bikhchandani ",58,"Technology ",1.7,"2020 - 2021",-0.3,"2021 - 2022"
"621","Mahendra Choksi & family ",80,"Manufacturing ",1.7,"2020 - 2021",0,"2015 - 2016"
"622","Gilles Martin ",58,"Healthcare ",1.7,"2020 - 2021",0.1,"2021 - 2022"
"623","Denis O'Brien ",63,"Telecom ",1.7,"2020 - 2021",-1.1,"2015 - 2016"
"624","Kuok Khoon Hong ",72,"Manufacturing ",1.7,"2020 - 2021",-0.3,"2017 - 2018"
"625","Aerin Lauder ",51,"Fashion & Retail ",1.7,"2020 - 2021",-0.3,"2021 - 2022"
"626","Friede Springer ",79,"Media & Entertainment ",1.7,"2017 - 2018",-1.5,"2020 - 2021"
"627","Zhang Shilong & family ",56,"Technology ",1.7,"2021 - 2022",0,"2015 - 2016"
"628","Pawan Munjal & family ",68,"Automotive ",1.7,"2020 - 2021",-1.2,"2021 - 2022"
"629","Chen Lip Keong ",74,"Gambling & Casinos ",1.7,"2017 - 2018",-2,"2021 - 2022"
"630","James Chambers ",64,"Media & Entertainment ",1.7,"2016 - 2017",-3.03,"2018 - 2019"
"631","Katharine Rayner ",77,"Media & Entertainment ",1.7,"2016 - 2017",-3.03,"2018 - 2019"
"632","Margaretta Taylor ",79,"Media & Entertainment ",1.7,"2016 - 2017",-3.03,"2018 - 2019"
"633","Udo & Harald Tschira ",64,"Technology ",1.7,"2016 - 2017",-7.3,"2020 - 2021"
"634","Micky Arison ",72,"Service ",1.6,"2018 - 2019",-6.2,"2019 - 2020"
"635","Manuel Villar ",72,"Real Estate ",1.6,"2020 - 2021",-0.3,"2015 - 2016"
"636","Arthur Blank ",79,"Sports ",1.6,"2020 - 2021",0.8,"2018 - 2019"
"637","Harry Stine ",80,"Food & Beverage ",1.6,"2020 - 2021",-0.1,"2016 - 2017"
"638","Qin Yinglin ",56,"Food & Beverage ",1.6,"2017 - 2018",0.3,"2016 - 2017"
"639","Andre Esteves ",53,"Finance & Investments ",1.6,"2020 - 2021",-1.3,"2015 - 2016"
"640","Thomas Straumann ",58,"Healthcare ",1.6,"2020 - 2021",0.8,"2018 - 2019"
"641","Samuel Yin ",71,"Diversified ",1.6,"2016 - 2017",-2.2,"2019 - 2020"
"642","Ken Fisher ",71,"Finance & Investments ",1.6,"2020 - 2021",-0.2,"2021 - 2022"
"643","Rudolf Maag ",76,"Healthcare ",1.6,"2020 - 2021",0.8,"2021 - 2022"
"644","Gary Rollins ",77,"Service ",1.6,"2020 - 2021",0.0999999999999996,"2021 - 2022"
"645","Maximilian Viessmann ",64,"Manufacturing ",1.6,"2020 - 2021",0,"2015 - 2016"
"646","N.R. Narayana Murthy ",75,"Technology ",1.6,"2020 - 2021",-0.2,"2015 - 2016"
"647","Patrick Lee ",80,"Manufacturing ",1.6,"2016 - 2017",-1.1,"2021 - 2022"
"648","Li Guoqiang ",58,"Automotive ",1.6,"2020 - 2021",0,"2015 - 2016"
"649","Jack Cowin ",79,"Food & Beverage ",1.6,"2020 - 2021",0,"2021 - 2022"
"650","Barry Silbert ",45,"Finance & Investments ",1.6,"2021 - 2022",0,"2015 - 2016"
"651","Yu Qibing & family ",56,"Manufacturing ",1.6,"2020 - 2021",0,"2015 - 2016"
"652","Louis Le Duff ",75,"Food & Beverage ",1.6,"2020 - 2021",-0.7,"2021 - 2022"
"653","Pieter van der Does ",52,"Technology ",1.6,"2020 - 2021",-0.4,"2021 - 2022"
"654","Lai Shixian ",47,"Fashion & Retail ",1.6,"2020 - 2021",-0.5,"2021 - 2022"
"655","P.V. Ramprasad Reddy ",64,"Healthcare ",1.6,"2020 - 2021",-1,"2021 - 2022"
"656","Arkady Rotenberg ",70,"Construction & Engineering ",1.6,"2016 - 2017",-1.2,"2021 - 2022"
"657","Kong Jian Min ",54,"Real Estate ",1.6,"2020 - 2021",-2.2,"2021 - 2022"
"658","Francesco Gaetano Caltagirone ",79,"Construction & Engineering ",1.6,"2020 - 2021",-0.5,"2015 - 2016"
"659","Theodore Rachmat ",78,"Diversified ",1.6,"2021 - 2022",-0.5,"2015 - 2016"
"660","Remo Ruffini ",60,"Fashion & Retail ",1.6,"2020 - 2021",-0.4,"2021 - 2022"
"661","Morris Chang ",90,"Technology ",1.6,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"662","Hu Yangzhong ",57,"Technology ",1.6,"2020 - 2021",-0.4,"2021 - 2022"
"663","Lucio Tan ",87,"Diversified ",1.6,"2020 - 2021",-3.6,"2019 - 2020"
"664","Pamela Mars ",61,"Food & Beverage ",1.6,"2020 - 2021",0,"2015 - 2016"
"665","German Khan ",60,"Energy ",1.6,"2020 - 2021",-2.3,"2021 - 2022"
"666","J. Christopher Reyes ",68,"Food & Beverage ",1.6,"2021 - 2022",-1.3,"2020 - 2021"
"667","Jude Reyes ",66,"Food & Beverage ",1.6,"2021 - 2022",-1.3,"2020 - 2021"
"668","Frank Lowy ",91,"Real Estate ",1.6,"2021 - 2022",-1.4,"2018 - 2019"
"669","Jack Dangermond ",76,"Technology ",1.6,"2020 - 2021",0.1,"2016 - 2017"
"670","Antony Ressler ",60,"Finance & Investments ",1.6,"2020 - 2021",-0.4,"2015 - 2016"
"671","Gao Dekang & family ",70,"Fashion & Retail ",1.6,"2020 - 2021",0,"2015 - 2016"
"672","Martin & Olivier Bouygues ",64,"Construction & Engineering ",1.6,"2020 - 2021",-0.399999999999999,"2021 - 2022"
"673","Eric Lefkofsky ",52,"Technology ",1.6,"2020 - 2021",-0.3,"2015 - 2016"
"674","Kalanithi Maran ",56,"Media & Entertainment ",1.6,"2016 - 2017",-0.7,"2015 - 2016"
"675","John Fredriksen ",77,"Logistics ",1.57,"2019 - 2020",-2.9,"2017 - 2018"
"676","Barry Diller ",80,"Media & Entertainment ",1.57,"2018 - 2019",-1.67,"2019 - 2020"
"677","Daniel Tsai ",65,"Finance & Investments ",1.5,"2021 - 2022",-0.6,"2015 - 2016"
"678","An Kang ",73,"Healthcare ",1.5,"2020 - 2021",-2.1,"2021 - 2022"
"679","Friedhelm Loh ",75,"Manufacturing ",1.5,"2020 - 2021",-0.799999999999999,"2021 - 2022"
"680","Tsai Eng-meng ",65,"Food & Beverage ",1.5,"2021 - 2022",-2.9,"2015 - 2016"
"681","Andreas Halvorsen ",60,"Finance & Investments ",1.5,"2020 - 2021",0,"2016 - 2017"
"682","Ken Langone ",86,"Finance & Investments ",1.5,"2020 - 2021",0,"2015 - 2016"
"683","Charles Simonyi ",73,"Technology ",1.5,"2020 - 2021",0.5,"2018 - 2019"
"684","Gwendolyn Sontheim Meyer ",60,"Food & Beverage ",1.5,"2021 - 2022",-1.13,"2019 - 2020"
"685","Charles Dolan & family ",95,"Media & Entertainment ",1.5,"2020 - 2021",-0.699999999999999,"2021 - 2022"
"686","Ronald Lauder ",78,"Fashion & Retail ",1.5,"2020 - 2021",-0.5,"2021 - 2022"
"687","Thomas Schmidheiny ",76,"Construction & Engineering ",1.5,"2016 - 2017",-2.3,"2015 - 2016"
"688","Rakesh Gangwal ",68,"Service ",1.5,"2020 - 2021",0,"2015 - 2016"
"689","Paul Gauselmann & family ",87,"Gambling & Casinos ",1.5,"2020 - 2021",0,"2015 - 2016"
"690","Akio Nitori ",78,"Fashion & Retail ",1.5,"2020 - 2021",-1.2,"2021 - 2022"
"691","Antonio Del Valle Ruiz & family ",83,"Manufacturing ",1.5,"2020 - 2021",0,"2015 - 2016"
"692","Kiran Mazumdar-Shaw ",69,"Healthcare ",1.5,"2017 - 2018",-0.7,"2021 - 2022"
"693","Patrice Motsepe ",60,"Metals & Mining ",1.5,"2020 - 2021",-1.1,"2015 - 2016"
"694","Alessandra Garavoglia ",62,"Food & Beverage ",1.5,"2020 - 2021",-0.4,"2021 - 2022"
"695","Strive Masiyiwa ",61,"Telecom ",1.5,"2021 - 2022",0,"2015 - 2016"
"696","Zhang Li ",69,"Real Estate ",1.5,"2017 - 2018",-0.8,"2021 - 2022"
"697","Osman Kibar ",51,"Healthcare ",1.5,"2020 - 2021",-0.6,"2021 - 2022"
"698","Torsten Toeller ",55,"Fashion & Retail ",1.5,"2020 - 2021",-0.3,"2021 - 2022"
"699","Wang Wenmo ",65,"Fashion & Retail ",1.5,"2020 - 2021",-0.4,"2021 - 2022"
"700","Yusaku Maezawa ",46,"Technology ",1.5,"2016 - 2017",-0.2,"2017 - 2018"
"701","Bang Jun-hyuk ",53,"Media & Entertainment ",1.5,"2017 - 2018",-0.5,"2021 - 2022"
"702","Jin Lei ",56,"Healthcare ",1.5,"2020 - 2021",-1.6,"2021 - 2022"
"703","Maggie Hardy Knox ",56,"Service ",1.5,"2020 - 2021",-1.5,"2021 - 2022"
"704","Wim van der Leegte ",74,"Manufacturing ",1.5,"2020 - 2021",-1.4,"2021 - 2022"
"705","Senapathy Gopalakrishnan ",67,"Technology ",1.5,"2020 - 2021",-0.3,"2015 - 2016"
"706","Arun Bharat Ram ",81,"Manufacturing ",1.5,"2021 - 2022",0,"2015 - 2016"
"707","Kenneth Tuchman ",62,"Service ",1.5,"2020 - 2021",0,"2015 - 2016"
"708","Lottie Tham & family ",72,"Fashion & Retail ",1.5,"2020 - 2021",-0.9,"2021 - 2022"
"709","Heloise Pratt ",59,"Manufacturing ",1.5,"2020 - 2021",-0.5,"2021 - 2022"
"710","Yuri Kovalchuk ",70,"Finance & Investments ",1.5,"2020 - 2021",-2,"2021 - 2022"
"711","Richard Tsai ",64,"Finance & Investments ",1.5,"2021 - 2022",-0.6,"2015 - 2016"
"712","Andreas Struengmann & family ",72,"Healthcare ",1.4,"2020 - 2021",0,"2015 - 2016"
"713","Thomas Struengmann & family ",72,"Healthcare ",1.4,"2020 - 2021",0,"2015 - 2016"
"714","Robert Kraft ",80,"Sports ",1.4,"2021 - 2022",0,"2020 - 2021"
"715","Ashwin Dani & family ",79,"Manufacturing ",1.4,"2021 - 2022",0,"2015 - 2016"
"716","James Goodnight ",79,"Technology ",1.4,"2016 - 2017",-0.4,"2017 - 2018"
"717","Johann Graf ",75,"Gambling & Casinos ",1.4,"2015 - 2016",-2.1,"2021 - 2022"
"718","Jeff Skoll ",57,"Technology ",1.4,"2020 - 2021",-1.2,"2021 - 2022"
"719","Christian Haub ",57,"Fashion & Retail ",1.4,"2021 - 2022",0,"2015 - 2016"
"720","Martin Viessmann ",68,"Manufacturing ",1.4,"2017 - 2018",-0.2,"2015 - 2016"
"721","Yakir Gabay ",55,"Real Estate ",1.4,"2017 - 2018",-0.2,"2021 - 2022"
"722","Martin Ebner ",76,"Finance & Investments ",1.4,"2016 - 2017",0,"2015 - 2016"
"723","Tomasz Biernacki ",49,"Fashion & Retail ",1.4,"2020 - 2021",0,"2015 - 2016"
"724","Cho Jung-ho ",63,"Finance & Investments ",1.4,"2021 - 2022",0,"2015 - 2016"
"725","Eren Ozmen ",63,"Manufacturing ",1.4,"2021 - 2022",-0.2,"2020 - 2021"
"726","Zhang Wanzhen ",72,"Manufacturing ",1.4,"2020 - 2021",-0.4,"2021 - 2022"
"727","Barry Lam ",72,"Technology ",1.4,"2020 - 2021",-1,"2015 - 2016"
"728","Tilman Fertitta ",64,"Food & Beverage ",1.4,"2017 - 2018",-0.63,"2019 - 2020"
"729","Carlos Rodriguez-Pastor ",62,"Finance & Investments ",1.4,"2020 - 2021",-0.5,"2015 - 2016"
"730","Austen Cargill, II. ",71,"Food & Beverage ",1.4,"2021 - 2022",-0.0999999999999996,"2015 - 2016"
"731","James Cargill, II. ",72,"Food & Beverage ",1.4,"2021 - 2022",-0.0999999999999996,"2015 - 2016"
"732","Marianne Liebmann ",68,"Food & Beverage ",1.4,"2021 - 2022",-0.0999999999999996,"2015 - 2016"
"733","Thomas Pritzker ",71,"Finance & Investments ",1.4,"2020 - 2021",-0.97,"2019 - 2020"
"734","Richard Branson ",71,"Diversified ",1.4,"2020 - 2021",-1.86,"2019 - 2020"
"735","Johnelle Hunt ",90,"Logistics ",1.4,"2020 - 2021",-0.2,"2015 - 2016"
"736","Joesley Batista ",50,"Food & Beverage ",1.4,"2021 - 2022",0,"2015 - 2016"
"737","Wesley Batista ",49,"Food & Beverage ",1.4,"2021 - 2022",0,"2015 - 2016"
"738","E. Joe Shoen ",72,"Automotive ",1.4,"2016 - 2017",0,"2015 - 2016"
"739","Georg Nemetschek & family ",88,"Technology ",1.4,"2020 - 2021",0,"2015 - 2016"
"740","Dan Snyder ",57,"Sports ",1.4,"2021 - 2022",0,"2020 - 2021"
"741","Carl Douglas ",60,"Diversified ",1.4,"2020 - 2021",0,"2015 - 2016"
"742","Eric Douglas ",53,"Diversified ",1.4,"2020 - 2021",0,"2015 - 2016"
"743","Fiona Geminder ",57,"Manufacturing ",1.4,"2020 - 2021",-0.1,"2015 - 2016"
"744","Klaus-Peter Schulenberg ",70,"Service ",1.4,"2020 - 2021",-0.2,"2021 - 2022"
"745","William Ackman ",55,"Finance & Investments ",1.4,"2020 - 2021",-0.6,"2016 - 2017"
"746","Markus Blocher ",51,"Manufacturing ",1.4,"2020 - 2021",0,"2015 - 2016"
"747","Maurizio Billi ",64,"Healthcare ",1.4,"2021 - 2022",-0.3,"2017 - 2018"
"748","Otto Philipp Braun ",44,"Healthcare ",1.4,"2017 - 2018",-0.3,"2021 - 2022"
"749","Cao Ji ",70,"Manufacturing ",1.4,"2020 - 2021",-0.1,"2021 - 2022"
"750","Takao Yasuda ",72,"Fashion & Retail ",1.4,"2020 - 2021",-1.6,"2021 - 2022"
"751","Karin Schick ",64,"Technology ",1.4,"2020 - 2021",-0.5,"2021 - 2022"
"752","Lee Hae-jin ",54,"Technology ",1.4,"2020 - 2021",-0.4,"2021 - 2022"
"753","Ralph Lauren ",82,"Fashion & Retail ",1.4,"2020 - 2021",-1.5,"2015 - 2016"
"754","Bert Beveridge ",60,"Food & Beverage ",1.4,"2020 - 2021",-0.0999999999999996,"2021 - 2022"
"755","Jon Stryker ",63,"Healthcare ",1.4,"2020 - 2021",-0.1,"2015 - 2016"
"756","Yasumitsu Shigeta ",57,"Telecom ",1.4,"2017 - 2018",-1.7,"2021 - 2022"
"757","Stefano Pessina ",80,"Fashion & Retail ",1.3,"2015 - 2016",-2.1,"2017 - 2018"
"758","Mikhail Prokhorov ",56,"Finance & Investments ",1.3,"2016 - 2017",-2.3,"2015 - 2016"
"759","George Soros ",91,"Finance & Investments ",1.3,"2019 - 2020",-17.2,"2017 - 2018"
"760","Daniel Kretinsky ",46,"Energy ",1.3,"2021 - 2022",0,"2015 - 2016"
"761","Stanley Druckenmiller ",68,"Finance & Investments ",1.3,"2015 - 2016",0,"2017 - 2018"
"762","Scott Cook ",69,"Technology ",1.3,"2020 - 2021",0,"2015 - 2016"
"763","Richard Schulze ",81,"Fashion & Retail ",1.3,"2020 - 2021",-0.5,"2015 - 2016"
"764","Herbert Wertheim ",82,"Finance & Investments ",1.3,"2020 - 2021",0,"2015 - 2016"
"765","Jimmy Haslam ",68,"Fashion & Retail ",1.3,"2016 - 2017",-0.5,"2015 - 2016"
"766","Daniel Mate ",58,"Metals & Mining ",1.3,"2021 - 2022",0,"2015 - 2016"
"767","Aristotelis Mistakidis ",60,"Metals & Mining ",1.3,"2021 - 2022",0,"2015 - 2016"
"768","Thomas Siebel ",69,"Technology ",1.3,"2020 - 2021",-1.4,"2021 - 2022"
"769","Zhou Jianping ",61,"Fashion & Retail ",1.3,"2017 - 2018",-0.9,"2015 - 2016"
"770","Jeff Rothschild ",67,"Technology ",1.3,"2020 - 2021",-0.9,"2021 - 2022"
"771","Rufino Vigil Gonzalez ",73,"Metals & Mining ",1.3,"2021 - 2022",-0.6,"2017 - 2018"
"772","Steven Sarowitz ",56,"Technology ",1.3,"2020 - 2021",0,"2015 - 2016"
"773","Stephen Smith ",70,"Finance & Investments ",1.3,"2020 - 2021",0,"2015 - 2016"
"774","Fatih Ozmen ",64,"Manufacturing ",1.3,"2021 - 2022",-0.2,"2020 - 2021"
"775","Rajendra Agarwal ",63,"Healthcare ",1.3,"2020 - 2021",-0.2,"2021 - 2022"
"776","Banwari Lal Bawri ",69,"Healthcare ",1.3,"2020 - 2021",-0.2,"2021 - 2022"
"777","Girdhari Lal Bawri ",74,"Healthcare ",1.3,"2020 - 2021",-0.2,"2021 - 2022"
"778","Scott Lin ",89,"Technology ",1.3,"2016 - 2017",-0.8,"2021 - 2022"
"779","Gopikishan Damani ",64,"Fashion & Retail ",1.3,"2021 - 2022",0,"2015 - 2016"
"780","David Green & family ",80,"Fashion & Retail ",1.3,"2020 - 2021",-0.3,"2021 - 2022"
"781","Hasmukh Chudgar & family ",88,"Healthcare ",1.3,"2021 - 2022",0,"2015 - 2016"
"782","David Velez ",40,"Finance & Investments ",1.3,"2021 - 2022",0,"2015 - 2016"
"783","Bruce Kovner ",77,"Finance & Investments ",1.3,"2020 - 2021",-0.399999999999999,"2021 - 2022"
"784","Alexei Kuzmichev ",59,"Energy ",1.3,"2020 - 2021",-1.8,"2021 - 2022"
"785","Ugur Sahin ",56,"Healthcare ",1.3,"2021 - 2022",0,"2015 - 2016"
"786","Russ Weiner ",51,"Food & Beverage ",1.3,"2015 - 2016",-0.3,"2020 - 2021"
"787","Victor Jacobsson ",40,"Finance & Investments ",1.3,"2021 - 2022",0,"2015 - 2016"
"788","Helmut Sohmen ",82,"Logistics ",1.3,"2021 - 2022",-0.5,"2017 - 2018"
"789","Wu Shaoxun ",66,"Food & Beverage ",1.3,"2020 - 2021",-5.49,"2019 - 2020"
"790","Richard Sands ",71,"Food & Beverage ",1.3,"2021 - 2022",-0.2,"2020 - 2021"
"791","Robert Sands ",63,"Food & Beverage ",1.3,"2021 - 2022",0,"2015 - 2016"
"792","Michael Xie ",53,"Technology ",1.3,"2021 - 2022",0,"2015 - 2016"
"793","Walter Faria ",67,"Food & Beverage ",1.3,"2020 - 2021",-2.49,"2019 - 2020"
"794","Jay Paul ",74,"Real Estate ",1.3,"2020 - 2021",-0.1,"2021 - 2022"
"795","Shen Hua & family ",59,"Technology ",1.3,"2021 - 2022",0,"2015 - 2016"
"796","Tang Jinkui & family ",66,"Manufacturing ",1.3,"2020 - 2021",0,"2015 - 2016"
"797","Chad Richison ",51,"Technology ",1.3,"2020 - 2021",-0.4,"2021 - 2022"
"798","Chen Huxiong ",51,"Manufacturing ",1.3,"2020 - 2021",-0.7,"2021 - 2022"
"799","Kuan Kam Hon & family ",74,"Manufacturing ",1.3,"2020 - 2021",-1.9,"2021 - 2022"
"800","Koo Kwang-mo ",44,"Diversified ",1.3,"2020 - 2021",-0.7,"2021 - 2022"
"801","Li Sze Lim ",65,"Real Estate ",1.3,"2017 - 2018",-1.2,"2021 - 2022"
"802","Kazuo Okada ",79,"Gambling & Casinos ",1.3,"2016 - 2017",-0.2,"2015 - 2016"
"803","Kostyantin Zhevago ",48,"Metals & Mining ",1.3,"2020 - 2021",-1,"2021 - 2022"
"804","Tom Morris ",67,"Fashion & Retail ",1.28,"2018 - 2019",-2.58,"2019 - 2020"
"805","Hansjoerg Wyss ",87,"Healthcare ",1.26,"2018 - 2019",-1.46,"2019 - 2020"
"806","Marian Ilitch ",89,"Food & Beverage ",1.24,"2018 - 2019",-2.64,"2019 - 2020"
"807","Ricardo Salinas Pliego & family ",66,"Fashion & Retail ",1.2,"2020 - 2021",-0.5,"2021 - 2022"
"808","John, Alan & Bruce Wilson ",64,"Fashion & Retail ",1.2,"2021 - 2022",0,"2015 - 2016"
"809","Tom Golisano ",80,"Service ",1.2,"2021 - 2022",0.2,"2017 - 2018"
"810","Robert Bass ",74,"Energy ",1.2,"2016 - 2017",0,"2021 - 2022"
"811","Robert Rich, Jr. ",81,"Food & Beverage ",1.2,"2017 - 2018",0.199999999999999,"2020 - 2021"
"812","Mark Stevens ",62,"Finance & Investments ",1.2,"2020 - 2021",0.4,"2018 - 2019"
"813","Hao Hong ",66,"Healthcare ",1.2,"2020 - 2021",0,"2015 - 2016"
"814","William Berkley ",75,"Finance & Investments ",1.2,"2021 - 2022",-0.1,"2020 - 2021"
"815","Qiu Guanghe & family ",70,"Fashion & Retail ",1.2,"2020 - 2021",-0.6,"2021 - 2022"
"816","Pat Stryker ",65,"Healthcare ",1.2,"2018 - 2019",-2.5,"2019 - 2020"
"817","Giuliana Benetton ",84,"Fashion & Retail ",1.2,"2020 - 2021",-0.5,"2021 - 2022"
"818","Luciano Benetton ",86,"Fashion & Retail ",1.2,"2020 - 2021",-0.5,"2021 - 2022"
"819","Nirmal Minda ",64,"Automotive ",1.2,"2021 - 2022",0,"2015 - 2016"
"820","K.C. Liu ",68,"Technology ",1.2,"2020 - 2021",-0.1,"2021 - 2022"
"821","Gerry Harvey ",82,"Fashion & Retail ",1.2,"2020 - 2021",-0.1,"2017 - 2018"
"822","Hoi Kin Hong ",69,"Real Estate ",1.2,"2020 - 2021",-1.2,"2021 - 2022"
"823","Hal Jackman ",89,"Finance & Investments ",1.2,"2020 - 2021",-0.8,"2021 - 2022"
"824","He Zhaoxi ",48,"Technology ",1.2,"2020 - 2021",-1.5,"2021 - 2022"
"825","Torstein Hagen ",79,"Service ",1.2,"2017 - 2018",-0.2,"2020 - 2021"
"826","Samir Mehta ",58,"Healthcare ",1.2,"2020 - 2021",0,"2015 - 2016"
"827","Sudhir Mehta ",67,"Healthcare ",1.2,"2020 - 2021",0,"2015 - 2016"
"828","Xie Juhua & family ",71,"Healthcare ",1.2,"2020 - 2021",0,"2015 - 2016"
"829","Nicolas Berggruen ",60,"Real Estate ",1.2,"2021 - 2022",0,"2015 - 2016"
"830","Qiu Minxiu ",76,"Technology ",1.2,"2021 - 2022",0,"2015 - 2016"
"831","Edward Bass ",76,"Energy ",1.2,"2016 - 2017",-0.5,"2017 - 2018"
"832","Peter Lim ",68,"Finance & Investments ",1.2,"2020 - 2021",-0.6,"2021 - 2022"
"833","Victor Pinchuk ",61,"Metals & Mining ",1.2,"2020 - 2021",-0.6,"2021 - 2022"
"834","Jeff Greene ",67,"Real Estate ",1.2,"2021 - 2022",0.1,"2016 - 2017"
"835","Andrej Babis ",67,"Food & Beverage ",1.2,"2017 - 2018",0,"2015 - 2016"
"836","Rupert Johnson, Jr. ",81,"Finance & Investments ",1.2,"2016 - 2017",-2.3,"2015 - 2016"
"837","Charles Edelstenne ",84,"Manufacturing ",1.2,"2020 - 2021",0.1,"2016 - 2017"
"838","Bob Parsons ",71,"Technology ",1.2,"2021 - 2022",-0.5,"2020 - 2021"
"839","Thomas Hagen ",86,"Finance & Investments ",1.2,"2020 - 2021",-1.1,"2021 - 2022"
"840","Sandeep Engineer ",60,"Manufacturing ",1.2,"2020 - 2021",0,"2015 - 2016"
"841","Henry Davis ",71,"Food & Beverage ",1.2,"2021 - 2022",0,"2015 - 2016"
"842","Liang Zhaoxian ",57,"Manufacturing ",1.2,"2020 - 2021",-0.5,"2017 - 2018"
"843","Chen Huwen ",51,"Manufacturing ",1.2,"2020 - 2021",-0.7,"2021 - 2022"
"844","Eiichi Kuriwada ",75,"Logistics ",1.2,"2020 - 2021",-0.2,"2021 - 2022"
"845","Karl-Johan Persson ",47,"Fashion & Retail ",1.2,"2020 - 2021",-0.8,"2021 - 2022"
"846","Tom Persson ",37,"Fashion & Retail ",1.2,"2020 - 2021",-0.8,"2021 - 2022"
"847","Charlotte Soderstrom ",45,"Fashion & Retail ",1.2,"2020 - 2021",-0.8,"2021 - 2022"
"848","Lin Li ",58,"Finance & Investments ",1.2,"2021 - 2022",-0.3,"2020 - 2021"
"849","Zeng Fangqin ",56,"Technology ",1.2,"2020 - 2021",-2.8,"2021 - 2022"
"850","Brian Acton ",50,"Technology ",1.2,"2016 - 2017",-2.65,"2018 - 2019"
"851","Helen Johnson-Leipold ",65,"Manufacturing ",1.15,"2018 - 2019",-1.55,"2019 - 2020"
"852","Jeff Sutton ",62,"Real Estate ",1.11,"2018 - 2019",-1.31,"2019 - 2020"
"853","Donald Bren ",89,"Real Estate ",1.1,"2017 - 2018",-1.7,"2019 - 2020"
"854","Shari Arison ",64,"Service ",1.1,"2020 - 2021",-2.2,"2019 - 2020"
"855","Johan Johannson ",55,"Fashion & Retail ",1.1,"2017 - 2018",-0.6,"2015 - 2016"
"856","Alain Bouchard ",73,"Fashion & Retail ",1.1,"2020 - 2021",0,"2017 - 2018"
"857","Piero Ferrari ",76,"Automotive ",1.1,"2017 - 2018",0,"2015 - 2016"
"858","Carlo Fidani ",67,"Real Estate ",1.1,"2020 - 2021",0,"2015 - 2016"
"859","Stephen Mandel, Jr. ",66,"Finance & Investments ",1.1,"2020 - 2021",0,"2017 - 2018"
"860","Timur Kulibaev ",55,"Finance & Investments ",1.1,"2017 - 2018",-0.1,"2015 - 2016"
"861","Dinara Kulibaeva ",54,"Finance & Investments ",1.1,"2017 - 2018",-0.1,"2015 - 2016"
"862","Michael Milken ",75,"Finance & Investments ",1.1,"2016 - 2017",0,"2015 - 2016"
"863","Byju Raveendran and Divya Gokulnath ",40,"Technology ",1.1,"2021 - 2022",0,"2015 - 2016"
"864","Nan Cunhui ",58,"Manufacturing ",1.1,"2020 - 2021",-0.4,"2015 - 2016"
"865","Masahiro Noda ",83,"Technology ",1.1,"2020 - 2021",-0.5,"2021 - 2022"
"866","Mohed Altrad ",74,"Construction & Engineering ",1.1,"2017 - 2018",0,"2015 - 2016"
"867","Jim Kavanaugh ",59,"Technology ",1.1,"2021 - 2022",0,"2015 - 2016"
"868","Nandan Nilekani ",66,"Technology ",1.1,"2020 - 2021",-0.2,"2015 - 2016"
"869","Andrew & Peggy Cherng ",64,"Food & Beverage ",1.1,"2021 - 2022",-0.3,"2015 - 2016"
"870","Vikas Oberoi ",51,"Real Estate ",1.1,"2021 - 2022",0,"2015 - 2016"
"871","Walter Frey ",78,"Automotive ",1.1,"2021 - 2022",-0.2,"2015 - 2016"
"872","Peter Hargreaves ",75,"Finance & Investments ",1.1,"2017 - 2018",-1.1,"2021 - 2022"
"873","Gudrun Heine ",67,"Healthcare ",1.1,"2020 - 2021",-0.9,"2017 - 2018"
"874","Li Min ",56,"Technology ",1.1,"2021 - 2022",0,"2015 - 2016"
"875","Arvind Poddar ",64,"Automotive ",1.1,"2020 - 2021",0,"2015 - 2016"
"876","Sybill Storz ",84,"Healthcare ",1.1,"2020 - 2021",-0.9,"2017 - 2018"
"877","Andrew Tan ",70,"Diversified ",1.1,"2020 - 2021",-1.8,"2015 - 2016"
"878","Li Li ",56,"Healthcare ",1.1,"2021 - 2022",0,"2015 - 2016"
"879","Tseng Cheng ",60,"Manufacturing ",1.1,"2021 - 2022",0,"2015 - 2016"
"880","Harindarpal Banga ",71,"Finance & Investments ",1.1,"2021 - 2022",0,"2015 - 2016"
"881","Anne Beaufour ",58,"Healthcare ",1.1,"2017 - 2018",0.6,"2021 - 2022"
"882","Henri Beaufour ",56,"Healthcare ",1.1,"2017 - 2018",0.6,"2021 - 2022"
"883","Baba Kalyani ",73,"Construction & Engineering ",1.1,"2017 - 2018",-0.7,"2015 - 2016"
"884","Ramon Ang ",68,"Food & Beverage ",1.1,"2017 - 2018",-0.2,"2021 - 2022"
"885","Wu Lanlan & family ",48,"Manufacturing ",1.1,"2020 - 2021",-0.4,"2021 - 2022"
